ICHIGATSU 12;12/01/2016;601O;8;12/01/2016;304O;8
ICHIGATSU 12;12/01/2016;601O;6;12/01/2016;304O;6
ICHIGATSU 12;12/01/2016;601O;8;13/01/2016;304O;8
ICHIGATSU 12;12/01/2016;601O;2;13/01/2016;304O;2
ICHIGATSU 12;12/01/2016;83O;8;12/01/2016;504O;8
ICHIGATSU 12;12/01/2016;83O;3;12/01/2016;504O;3
ICHIGATSU 12;12/01/2016;83O;8;13/01/2016;504O;8
ICHIGATSU 12;12/01/2016;83O;2;13/01/2016;504O;2
ICHIGATSU 13;13/01/2016;601O;8;13/01/2016;304O;8
ICHIGATSU 13;13/01/2016;601O;8;13/01/2016;304O;8
ICHIGATSU 13;13/01/2016;601O;6;13/01/2016;304O;6
ICHIGATSU 13;13/01/2016;601O;8;14/01/2016;304O;8
ICHIGATSU 13;13/01/2016;601O;2;14/01/2016;304O;2
ICHIGATSU 13;13/01/2016;83O;8;13/01/2016;504O;8
ICHIGATSU 13;13/01/2016;83O;3;13/01/2016;504O;3
ICHIGATSU 13;13/01/2016;83O;8;14/01/2016;504O;8
ICHIGATSU 13;13/01/2016;83O;2;14/01/2016;504O;2
ICHIGATSU 14;14/01/2016;601O;8;14/01/2016;304O;8
ICHIGATSU 14;14/01/2016;601O;8;14/01/2016;304O;8
ICHIGATSU 14;14/01/2016;601O;6;14/01/2016;304O;6
ICHIGATSU 14;14/01/2016;601O;8;15/01/2016;304O;8
ICHIGATSU 14;14/01/2016;601O;2;15/01/2016;304O;2
ICHIGATSU 14;14/01/2016;83O;8;14/01/2016;504O;8
ICHIGATSU 14;14/01/2016;83O;3;14/01/2016;504O;3
ICHIGATSU 14;14/01/2016;83O;8;15/01/2016;504O;8
ICHIGATSU 14;14/01/2016;83O;2;15/01/2016;504O;2
ICHIGATSU 15;15/01/2016;601O;8;15/01/2016;304O;8
ICHIGATSU 15;15/01/2016;601O;8;15/01/2016;304O;8
ICHIGATSU 15;15/01/2016;601O;6;15/01/2016;304O;6
ICHIGATSU 15;15/01/2016;601O;8;16/01/2016;304O;8
ICHIGATSU 15;15/01/2016;601O;2;16/01/2016;304O;2
ICHIGATSU 15;15/01/2016;83O;8;15/01/2016;504O;8
ICHIGATSU 15;15/01/2016;83O;3;15/01/2016;504O;3
ICHIGATSU 15;15/01/2016;83O;8;16/01/2016;504O;8
ICHIGATSU 15;15/01/2016;83O;2;16/01/2016;504O;2
ICHIGATSU 16;16/01/2016;601O;8;16/01/2016;304O;8
ICHIGATSU 16;16/01/2016;601O;8;16/01/2016;304O;8
ICHIGATSU 16;16/01/2016;601O;6;16/01/2016;304O;6
ICHIGATSU 16;16/01/2016;601O;8;17/01/2016;304O;8
ICHIGATSU 16;16/01/2016;601O;2;17/01/2016;304O;2
ICHIGATSU 16;16/01/2016;83O;8;16/01/2016;504O;8
ICHIGATSU 16;16/01/2016;83O;3;16/01/2016;504O;3
ICHIGATSU 16;16/01/2016;83O;8;17/01/2016;504O;8
ICHIGATSU 16;16/01/2016;83O;2;17/01/2016;504O;2
ICHIGATSU 17;17/01/2016;601O;8;17/01/2016;304O;8
ICHIGATSU 17;17/01/2016;601O;8;17/01/2016;304O;8
ICHIGATSU 17;17/01/2016;601O;6;17/01/2016;304O;6
ICHIGATSU 17;17/01/2016;601O;8;18/01/2016;304O;8
ICHIGATSU 17;17/01/2016;601O;2;18/01/2016;304O;2
ICHIGATSU 17;17/01/2016;83O;8;17/01/2016;504O;8
ICHIGATSU 17;17/01/2016;83O;3;17/01/2016;504O;3
ICHIGATSU 17;17/01/2016;83O;8;18/01/2016;504O;8
ICHIGATSU 17;17/01/2016;83O;2;18/01/2016;504O;2
ICHIGATSU 18;18/01/2016;601O;8;18/01/2016;304O;8
ICHIGATSU 18;18/01/2016;601O;8;18/01/2016;304O;8
ICHIGATSU 18;18/01/2016;601O;6;18/01/2016;304O;6
ICHIGATSU 18;18/01/2016;601O;8;19/01/2016;304O;8
ICHIGATSU 18;18/01/2016;601O;2;19/01/2016;304O;2
ICHIGATSU 18;18/01/2016;83O;8;18/01/2016;504O;8
ICHIGATSU 18;18/01/2016;83O;3;18/01/2016;504O;3
ICHIGATSU 18;18/01/2016;83O;8;19/01/2016;504O;8
ICHIGATSU 18;18/01/2016;83O;2;19/01/2016;504O;2
ICHIGATSU 19;19/01/2016;601O;8;19/01/2016;304O;8
ICHIGATSU 19;19/01/2016;601O;8;19/01/2016;304O;8
ICHIGATSU 19;19/01/2016;601O;6;19/01/2016;304O;6
ICHIGATSU 19;19/01/2016;601O;8;20/01/2016;304O;8
ICHIGATSU 19;19/01/2016;601O;2;20/01/2016;304O;2
ICHIGATSU 19;19/01/2016;83O;8;19/01/2016;504O;8
ICHIGATSU 19;19/01/2016;83O;3;19/01/2016;504O;3
ICHIGATSU 19;19/01/2016;83O;8;20/01/2016;504O;8
ICHIGATSU 19;19/01/2016;83O;2;20/01/2016;504O;2
ICHIGATSU 20;20/01/2016;601O;8;20/01/2016;304O;8
ICHIGATSU 20;20/01/2016;601O;8;20/01/2016;304O;8
ICHIGATSU 20;20/01/2016;601O;6;20/01/2016;304O;6
ICHIGATSU 20;20/01/2016;601O;8;21/01/2016;304O;8
ICHIGATSU 20;20/01/2016;601O;2;21/01/2016;304O;2
ICHIGATSU 20;20/01/2016;83O;8;20/01/2016;504O;8
ICHIGATSU 20;20/01/2016;83O;3;20/01/2016;504O;3
ICHIGATSU 20;20/01/2016;83O;8;21/01/2016;504O;8
ICHIGATSU 20;20/01/2016;83O;2;21/01/2016;504O;2
ICHIGATSU 21;21/01/2016;601O;8;21/01/2016;304O;8
ICHIGATSU 21;21/01/2016;601O;8;21/01/2016;304O;8
ICHIGATSU 21;21/01/2016;601O;6;21/01/2016;304O;6
ICHIGATSU 21;21/01/2016;601O;8;22/01/2016;304O;8
ICHIGATSU 21;21/01/2016;601O;2;22/01/2016;304O;2
ICHIGATSU 21;21/01/2016;83O;8;21/01/2016;504O;8
ICHIGATSU 21;21/01/2016;83O;3;21/01/2016;504O;3
ICHIGATSU 21;21/01/2016;83O;8;22/01/2016;504O;8
ICHIGATSU 21;21/01/2016;83O;2;22/01/2016;504O;2
ICHIGATSU 22;22/01/2016;601O;8;22/01/2016;304O;8
ICHIGATSU 22;22/01/2016;601O;8;22/01/2016;304O;8
ICHIGATSU 22;22/01/2016;601O;6;22/01/2016;304O;6
ICHIGATSU 22;22/01/2016;601O;8;23/01/2016;304O;8
ICHIGATSU 22;22/01/2016;601O;2;23/01/2016;304O;2
ICHIGATSU 22;22/01/2016;83O;8;22/01/2016;504O;8
ICHIGATSU 22;22/01/2016;83O;3;22/01/2016;504O;3
ICHIGATSU 22;22/01/2016;83O;8;23/01/2016;504O;8
ICHIGATSU 22;22/01/2016;83O;2;23/01/2016;504O;2
ICHIGATSU 23;23/01/2016;601O;8;23/01/2016;304O;8
ICHIGATSU 23;23/01/2016;601O;8;23/01/2016;304O;8
ICHIGATSU 23;23/01/2016;601O;6;23/01/2016;304O;6
ICHIGATSU 23;23/01/2016;601O;8;24/01/2016;304O;8
ICHIGATSU 23;23/01/2016;601O;2;24/01/2016;304O;2
ICHIGATSU 23;23/01/2016;83O;8;23/01/2016;504O;8
ICHIGATSU 23;23/01/2016;83O;3;23/01/2016;504O;3
