61352;VIAJES PACIFICO SAC;41;OLLA - MAPI;26/05/2013;EJECUTIVO;10;44;MAPI - OLLA;26/05/2013;EJECUTIVO;10
61353;VIAJES PACIFICO SAC;41;OLLA - MAPI;27/05/2013;EJECUTIVO;10;44;MAPI - OLLA;27/05/2013;EJECUTIVO;9
61354;VIAJES PACIFICO SAC;43;OLLA - MAPI;28/05/2013;EJECUTIVO;10;46;MAPI - OLLA;28/05/2013;EJECUTIVO;10
61355;VIAJES PACIFICO SAC;43;OLLA - MAPI;29/05/2013;EJECUTIVO;10;46;MAPI - OLLA;29/05/2013;EJECUTIVO;10
61356;VIAJES PACIFICO SAC;41;OLLA - MAPI;30/05/2013;EJECUTIVO;10;44;MAPI - OLLA;30/05/2013;EJECUTIVO;10
61357;VIAJES PACIFICO SAC;41;OLLA - MAPI;31/05/2013;EJECUTIVO;10;44;MAPI - OLLA;31/05/2013;EJECUTIVO;10
61209;VIAJES PACIFICO SAC;41;OLLA - MAPI;01/06/2013;EJECUTIVO;10;44;MAPI - OLLA;01/06/2013;EJECUTIVO;10
61210;VIAJES PACIFICO SAC;41;OLLA - MAPI;02/06/2013;EJECUTIVO;10;44;MAPI - OLLA;02/06/2013;EJECUTIVO;10
61211;VIAJES PACIFICO SAC;41;OLLA - MAPI;03/06/2013;EJECUTIVO;10;44;MAPI - OLLA;03/06/2013;EJECUTIVO;10
61212;VIAJES PACIFICO SAC;41;OLLA - MAPI;04/06/2013;EJECUTIVO;10;44;MAPI - OLLA;04/06/2013;EJECUTIVO;10
61213;VIAJES PACIFICO SAC;41;OLLA - MAPI;05/06/2013;EJECUTIVO;10;44;MAPI - OLLA;05/06/2013;EJECUTIVO;10
61214;VIAJES PACIFICO SAC;41;OLLA - MAPI;06/06/2013;EJECUTIVO;10;44;MAPI - OLLA;06/06/2013;EJECUTIVO;10
61215;VIAJES PACIFICO SAC;41;OLLA - MAPI;07/06/2013;EJECUTIVO;10;44;MAPI - OLLA;07/06/2013;EJECUTIVO;10
61216;VIAJES PACIFICO SAC;41;OLLA - MAPI;08/06/2013;EJECUTIVO;10;44;MAPI - OLLA;08/06/2013;EJECUTIVO;10
61217;VIAJES PACIFICO SAC;41;OLLA - MAPI;09/06/2013;EJECUTIVO;10;44;MAPI - OLLA;09/06/2013;EJECUTIVO;10
61218;VIAJES PACIFICO SAC;41;OLLA - MAPI;10/06/2013;EJECUTIVO;10;44;MAPI - OLLA;10/06/2013;EJECUTIVO;10
61219;VIAJES PACIFICO SAC;41;OLLA - MAPI;11/06/2013;EJECUTIVO;10;44;MAPI - OLLA;11/06/2013;EJECUTIVO;10
61229;VIAJES PACIFICO SAC;41;OLLA - MAPI;12/06/2013;EJECUTIVO;10;44;MAPI - OLLA;12/06/2013;EJECUTIVO;10
